theater,votes_free,ratio_free,longitude,latitude,votes_jail,party,population
Theater Aachen,2384,0.6285262325,6.082146442,50.7672852554,1409,cdu,245885
Theater Baden-Baden,2086,0.6520787746,8.2437446732,48.7657698451,1113,cdu,5416
"Deutsches Theater, Berlin",6208,0.5462384514,13.3901933841,52.5187456486,5157,spd,3520031
Theater Bielefeld,8313,0.6586641312,8.5345690437,52.0245034482,4308,spd,33309
Staatstheater Braunschweig,1910,0.5383314543,10.5228356496,52.2660591229,1638,spd,251364
Schlosstheater Celle,2653,0.6825315153,10.080726684,52.6171900307,1234,spd,69748
Staatsschauspiel Dresden,5188,0.5137142291,13.7210676149,51.0600336463,4911,fdp,543825
Düsseldorfer Schauspielhaus,12610,0.5843915099,6.7914008835,51.2302634707,8968,spd,612178
Schauspiel Frankfurt,5970,0.5610902256,8.6838859519,50.1119739847,4670,spd,732688
"Deutsches Theater, Göttingen",2930,0.6498114881,9.9324546809,51.5350415221,1579,spd,118914
"Theater Vorpommern, Greifswald",1007,0.6983356449,13.3789308381,54.089398657,435,gruen,57286
"Theater Vorpommern, Stralsund",360,0.6010016694,13.1147692454,54.2818868572,239,cdu,58041
"Deutsches Schauspielhaus, Hamburg",2552,0.5910143585,10.0117770072,53.5608014977,1766,spd,1787408
Staatstheater Nürnberg,1869,0.5536137441,11.0699072434,49.4403932171,1507,spd,509975
Oldenburgisches Staatstheater,5200,0.6266570258,8.2044107962,53.1394888932,3098,spd,16383
Schauspielbühnen in Stuttgart,7441,0.6356026309,9.1646774042,48.7698345833,4266,gruen,623738
Staatstheater Kassel,1384,0.6228622862,9.4907965902,51.3171621795,838,spd,197984
Mainzer Kammerspiele,1277,0.593401487,8.2739474799,50.0004311011,875,spd,209779
Metropoltheater München,4281,0.557421875,11.6166424501,48.2080563114,3399,spd,1450381
Badisches Staatstheater Karlsruhe,299,0.4861788618,8.4171519814,49.0007141097,316,spd,307755
Bremer Kriminaltheater,681,0.5324472244,8.824210527,53.074946769,598,spd,557464
Contra-Kreis-Theater & Junges Theater Bonn,1925,0.6656293223,7.122959177,50.7214942156,967,cdu,318809
"Wolfgang Borchert Theater, Münster",186,0.496,7.6698925327,51.9536975681,189,cdu,310039
Deutsch-Sorbisches Volkstheater Bautzen,105,0.5097087379,14.4365868353,51.185667039,101,cdu,39845
